# evid,Ml,Mw,fc,n,stressdrop
38443535,4.230,4.332,2.178,2.723,59.753
38444103,4.160,4.241,2.313,2.924,52.130
38444215,3.990,4.065,2.823,2.988,51.759
38445015,3.440,3.510,3.534,2.667,14.906
38445975,4.040,4.262,1.849,3.077,28.627
38446071,4.020,4.319,1.865,3.019,35.887
38450263,5.360,5.193,1.468,2.599,357.510
38451079,4.090,4.280,2.253,2.670,55.282
38452095,3.940,4.104,2.194,2.712,27.781
38458071,3.540,3.803,3.358,2.366,35.237
38458999,4.050,4.194,2.483,2.719,54.952
38459327,3.880,3.969,2.914,2.528,40.862
38462063,3.840,4.020,2.522,2.644,31.575
38462679,4.120,4.334,1.575,3.546,22.717
38464799,3.280,3.396,3.453,2.467,9.394
38466343,3.980,4.164,2.556,2.800,53.965
38466495,3.900,4.016,2.636,2.624,35.483
38469967,3.550,3.532,3.925,2.507,22.022
38470119,3.290,3.482,3.313,2.405,11.143
38470999,3.620,3.837,3.552,2.785,46.919
38471103,3.300,3.468,3.546,2.280,13.020
38471847,2.890,3.042,5.551,2.300,11.463
38472279,4.520,4.596,2.083,2.737,129.952
38472295,2.550,2.785,6.642,2.138,8.110
38472799,2.800,3.098,4.274,2.393,6.361
38474119,3.060,3.187,4.381,2.456,9.312
38474959,3.390,3.399,4.410,2.721,19.743
38475007,3.150,3.294,4.201,2.787,11.892
38475463,2.640,2.964,4.101,2.681,3.537
38478143,2.860,3.044,5.920,2.190,14.032
38478423,3.280,3.316,3.647,2.649,8.395
38479903,3.450,3.518,3.920,2.179,20.913
38480367,2.070,2.455,6.167,2.303,2.070
38481863,2.650,2.962,3.936,2.678,3.102
38483215,3.130,3.278,4.293,2.199,11.980
38483263,2.010,2.584,4.771,2.118,1.498
38483591,3.480,3.514,3.820,2.530,19.077
38485391,3.500,3.739,3.834,2.690,42.052
38488519,2.600,2.958,4.228,2.585,3.793
38489543,2.540,2.944,4.145,2.341,3.406
38496551,2.570,2.777,7.342,2.192,10.652
38496647,2.690,2.941,4.960,2.407,5.776
38498615,3.580,3.751,3.599,2.832,36.204
38510015,2.530,3.070,3.939,2.544,4.517
38516455,2.160,2.465,8.935,1.498,6.528
38522647,4.170,4.370,2.373,2.806,88.030
38538991,4.130,4.200,2.318,2.645,45.628
38562719,2.680,2.973,5.017,2.580,6.675
38564031,3.300,3.460,3.637,2.838,13.703
38565567,2.780,3.010,5.116,2.430,8.050
38570351,2.500,2.964,4.632,2.265,5.097
38577831,3.800,4.059,2.541,2.778,36.888
38580903,2.610,2.957,4.913,2.374,5.928
38583991,2.660,2.982,4.850,2.561,6.216
38587239,2.570,3.088,3.178,2.693,2.530
38589287,3.000,3.170,4.774,2.330,11.344
