# evid,Ml,Mw,fc,n,stressdrop
38443535,4.230,4.401,2.178,2.723,56.972
38444103,4.160,4.227,2.313,2.924,52.626
38444215,3.990,4.134,2.823,2.988,49.351
38445015,3.440,3.496,3.534,2.667,15.047
38445975,4.040,4.248,1.849,3.077,28.900
38446071,4.020,4.256,1.865,3.019,37.504
38450263,5.360,5.262,1.468,2.599,340.873
38451079,4.090,4.349,2.253,2.670,52.709
38452095,3.940,4.091,2.194,2.712,28.046
38458071,3.540,3.872,3.358,2.366,33.597
38458999,4.050,4.284,2.483,2.719,51.666
38459327,3.880,4.038,2.914,2.528,38.960
38462063,3.840,4.089,2.522,2.644,30.106
38462679,4.120,4.320,1.575,3.546,22.933
38464799,3.280,3.465,3.453,2.467,8.957
38466343,3.980,4.253,2.556,2.800,50.738
38466495,3.900,4.085,2.636,2.624,33.832
38469967,3.550,3.601,3.925,2.507,20.997
38470119,3.290,3.468,3.313,2.405,11.249
38470999,3.620,3.927,3.552,2.785,44.114
38471103,3.300,3.537,3.546,2.280,12.414
38471847,2.890,3.111,5.551,2.300,10.929
38472279,4.520,4.685,2.083,2.737,122.181
38472295,2.550,2.875,6.642,2.138,7.625
38472799,2.800,3.084,4.274,2.393,6.421
38474119,3.060,3.276,4.381,2.456,8.755
38474959,3.390,3.468,4.410,2.721,18.824
38475007,3.150,3.281,4.201,2.787,12.005
38475463,2.640,2.950,4.101,2.681,3.571
38478143,2.860,3.113,5.920,2.190,13.379
38478423,3.280,3.385,3.647,2.649,8.005
38479903,3.450,3.607,3.920,2.179,19.662
38480367,2.070,2.441,6.167,2.303,2.090
38481863,2.650,2.948,3.936,2.678,3.132
38483215,3.130,3.347,4.293,2.199,11.423
38483263,2.010,2.570,4.771,2.118,1.512
38483591,3.480,3.603,3.820,2.530,17.936
38485391,3.500,3.829,3.834,2.690,39.538
38488519,2.600,2.944,4.228,2.585,3.829
38489543,2.540,2.930,4.145,2.341,3.438
38496551,2.570,2.867,7.342,2.192,10.015
38496647,2.690,3.010,4.960,2.407,5.507
38498615,3.580,3.840,3.599,2.832,34.039
38510015,2.530,3.056,3.939,2.544,4.560
38516455,2.160,2.554,8.935,1.498,6.137
38522647,4.170,4.459,2.373,2.806,82.766
38538991,4.130,4.186,2.318,2.645,46.062
38562719,2.680,3.042,5.017,2.580,6.365
38564031,3.300,3.529,3.637,2.838,13.066
38565567,2.780,3.079,5.116,2.430,7.675
38570351,2.500,2.950,4.632,2.265,5.146
38577831,3.800,4.128,2.541,2.778,35.171
38580903,2.610,2.943,4.913,2.374,5.984
38583991,2.660,2.968,4.850,2.561,6.275
38587239,2.570,3.075,3.178,2.693,2.554
38589287,3.000,3.259,4.774,2.330,10.666
