# evid,Ml,Mw,fc,n,stressdrop
38443535,4.230,4.310,2.449,2.723,78.769
38444103,4.160,4.196,3.010,2.924,98.596
38444215,3.990,4.031,3.687,2.988,102.311
38445015,3.440,3.504,3.744,2.667,17.381
38445975,4.040,4.201,2.669,3.077,69.826
38446071,4.020,4.248,2.652,3.019,80.815
38450263,5.360,5.188,1.499,2.599,374.431
38451079,4.090,4.267,2.420,2.670,65.543
38452095,3.940,4.082,2.450,2.712,35.902
38458071,3.540,3.817,2.810,2.366,21.666
38458999,4.050,4.176,2.764,2.719,71.310
38459327,3.880,3.975,2.794,2.528,36.742
38462063,3.840,4.011,2.655,2.644,35.757
38462679,4.120,4.037,3.926,3.546,126.323
38464799,3.280,3.404,3.181,2.467,7.554
38466343,3.980,4.138,3.003,2.800,80.112
38466495,3.900,4.010,2.734,2.624,38.877
38469967,3.550,3.537,3.733,2.507,19.294
38470119,3.290,3.495,2.906,2.405,7.878
38470999,3.620,3.822,4.044,2.785,65.785
38471103,3.300,3.493,2.775,2.280,6.810
38471847,2.890,3.061,4.625,2.300,7.086
38472279,4.520,4.570,2.370,2.737,175.127
38472295,2.550,2.829,5.032,2.138,4.106
38472799,2.800,3.107,3.752,2.393,4.445
38474119,3.060,3.195,4.028,2.456,7.432
38474959,3.390,3.390,4.804,2.721,24.737
38475007,3.150,3.281,4.766,2.787,16.613
38475463,2.640,2.957,4.377,2.681,4.198
38478143,2.860,3.070,4.511,2.190,6.784
38478423,3.280,3.311,3.820,2.649,9.481
38479903,3.450,3.555,2.822,2.179,8.888
38480367,2.070,2.467,5.216,2.303,1.309
38481863,2.650,2.957,4.194,2.678,3.688
38483215,3.130,3.307,3.226,2.199,5.620
38483263,2.010,2.601,4.102,2.118,1.011
38483591,3.480,3.514,3.699,2.530,17.349
38485391,3.500,3.733,4.124,2.690,51.275
38488519,2.600,2.958,4.241,2.585,3.824
38489543,2.540,2.961,3.494,2.341,2.166
38496551,2.570,2.797,5.795,2.192,5.606
38496647,2.690,2.948,4.409,2.407,4.156
38498615,3.580,3.731,4.224,2.832,54.613
38510015,2.530,3.072,3.852,2.544,4.262
38516455,2.160,2.556,3.660,1.498,0.614
38522647,4.170,4.335,2.841,2.806,133.849
38538991,4.130,4.191,2.451,2.645,52.290
38562719,2.680,2.973,5.017,2.580,6.676
38564031,3.300,3.441,4.290,2.838,21.047
38565567,2.780,3.020,4.608,2.430,6.085
38570351,2.500,2.987,3.647,2.265,2.688
38577831,3.800,4.037,2.942,2.778,53.184
38580903,2.610,2.969,4.236,2.374,3.971
38583991,2.660,2.983,4.794,2.561,6.023
38587239,2.570,3.078,3.447,2.693,3.112
38589287,3.000,3.186,4.032,2.330,7.230
