# evid,Ml,Mw,fc,n,stressdrop
38443535,4.230,4.379,2.449,2.723,75.104
38444103,4.160,4.183,3.010,2.924,99.534
38444215,3.990,4.100,3.687,2.988,97.550
38445015,3.440,3.491,3.744,2.667,17.546
38445975,4.040,4.187,2.669,3.077,70.490
38446071,4.020,4.185,2.652,3.019,84.456
38450263,5.360,5.257,1.499,2.599,357.006
38451079,4.090,4.336,2.420,2.670,62.493
38452095,3.940,4.069,2.450,2.712,36.243
38458071,3.540,3.886,2.810,2.366,20.657
38458999,4.050,4.266,2.764,2.719,67.046
38459327,3.880,4.044,2.794,2.528,35.032
38462063,3.840,4.080,2.655,2.644,34.093
38462679,4.120,4.024,3.926,3.546,127.525
38464799,3.280,3.473,3.181,2.467,7.202
38466343,3.980,4.228,3.003,2.800,75.322
38466495,3.900,4.079,2.734,2.624,37.068
38469967,3.550,3.606,3.733,2.507,18.396
38470119,3.290,3.481,2.906,2.405,7.953
38470999,3.620,3.912,4.044,2.785,61.851
38471103,3.300,3.562,2.775,2.280,6.493
38471847,2.890,3.130,4.625,2.300,6.756
38472279,4.520,4.659,2.370,2.737,164.655
38472295,2.550,2.919,5.032,2.138,3.860
38472799,2.800,3.094,3.752,2.393,4.487
38474119,3.060,3.284,4.028,2.456,6.988
38474959,3.390,3.459,4.804,2.721,23.586
38475007,3.150,3.268,4.766,2.787,16.771
38475463,2.640,2.943,4.377,2.681,4.238
38478143,2.860,3.139,4.511,2.190,6.469
38478423,3.280,3.380,3.820,2.649,9.040
38479903,3.450,3.645,2.822,2.179,8.357
38480367,2.070,2.454,5.216,2.303,1.321
38481863,2.650,2.943,4.194,2.678,3.723
38483215,3.130,3.376,3.226,2.199,5.359
38483263,2.010,2.587,4.102,2.118,1.021
38483591,3.480,3.603,3.699,2.530,16.311
38485391,3.500,3.823,4.124,2.690,48.209
38488519,2.600,2.944,4.241,2.585,3.861
38489543,2.540,2.948,3.494,2.341,2.187
38496551,2.570,2.886,5.795,2.192,5.271
38496647,2.690,3.017,4.409,2.407,3.962
38498615,3.580,3.820,4.224,2.832,51.347
38510015,2.530,3.059,3.852,2.544,4.302
38516455,2.160,2.645,3.660,1.498,0.577
38522647,4.170,4.424,2.841,2.806,125.845
38538991,4.130,4.177,2.451,2.645,52.787
38562719,2.680,3.042,5.017,2.580,6.365
38564031,3.300,3.510,4.290,2.838,20.067
38565567,2.780,3.089,4.608,2.430,5.802
38570351,2.500,2.973,3.647,2.265,2.714
38577831,3.800,4.106,2.942,2.778,50.709
38580903,2.610,2.956,4.236,2.374,4.008
38583991,2.660,2.969,4.794,2.561,6.080
38587239,2.570,3.064,3.447,2.693,3.142
38589287,3.000,3.275,4.032,2.330,6.798
